t,wt,ql,sd
800.0,112.84049079754601,5.5,4.136858882244384
805.0,103.52571428571429,5.5625,4.889759262156198
810.0,106.121387283237,5.625,4.219719794712346
815.0,109.07514450867052,6.6875,3.7294524573926062
820.0,109.77966101694915,7.1875,3.124931753654696
825.0,113.05649717514125,7.3125,3.097694777476534
830.0,115.76704545454545,6.1875,3.2597544579911655
835.0,115.56395348837209,5.5,4.611425009265086
840.0,111.4180790960452,5.125,5.187115973703222
845.0,112.55747126436782,5.0,5.713969391275042
850.0,111.7457627118644,5.4375,5.133728921583234
855.0,108.3465909090909,6.25,4.395195774928572
860.0,107.27906976744185,6.875,2.919126870368636
865.0,109.76470588235294,7.625,2.277374645911417
870.0,112.46153846153847,7.875,2.3145581532248576
875.0,109.20454545454545,7.9375,2.659025692748281
880.0,112.78977272727273,8.3125,2.220004060395656
885.0,116.68181818181819,8.4375,2.2577227756900915
890.0,119.10857142857142,7.8125,2.7216552928542765
895.0,118.60112359550561,6.8125,3.5188385140869145
900.0,118.65934065934066,5.625,4.4934212341068065
905.0,121.18131868131869,5.625,4.188850842258538
910.0,115.94623655913979,5.25,4.6042654054084675
915.0,117.56756756756756,5.3125,4.739002854306919
920.0,118.35164835164835,5.75,4.196149818790689
925.0,119.91061452513966,5.9375,4.1027913135909095
930.0,119.04469273743017,6.5,3.89266344824719
935.0,121.71348314606742,6.6875,3.623840072762984
940.0,124.38418079096046,6.125,3.5778286349000843
945.0,115.58854166666667,7.0,3.7430791549163422
950.0,117.07978723404256,5.25,4.555083647325646
955.0,117.84946236559139,4.9375,4.900785205685504
960.0,120.16756756756757,5.5625,4.437030269678339
965.0,120.02127659574468,6.6875,3.831633167986658
970.0,123.12234042553192,7.6875,3.4763836134843102
975.0,126.1336898395722,8.25,2.6015281013940896
980.0,129.21621621621622,9.125,1.9905530095572774
985.0,127.015625,8.8125,2.5171495686032395
990.0,128.92021276595744,8.125,3.020103795374844
995.0,128.67894736842106,8.5,2.701087476323708
1000.0,129.55154639175257,8.5,2.5098465360301856
1005.0,122.66666666666667,7.5625,3.881653573682693
1010.0,124.78846153846153,6.625,4.742081282403863
1015.0,126.2390243902439,6.375,4.834692098063489
1020.0,129.33168316831683,7.375,3.5784138500041403
1025.0,130.24137931034483,8.4375,2.78409569939109
1030.0,130.6829268292683,8.6875,2.994341727589362
1035.0,134.34803921568627,8.875,3.219375771033021
1040.0,137.66831683168317,8.6875,3.015902925699049
1045.0,139.59798994974875,8.6875,2.617349821668648
1050.0,138.643216080402,8.375,2.7817166528081443
1055.0,141.21319796954316,8.0625,3.548297729161601
1060.0,141.4228855721393,7.5625,3.403540215237277
1065.0,144.24378109452735,6.6875,3.760528805309607
1070.0,146.88059701492537,6.1875,3.9345430796731864
1075.0,143.3028846153846,6.25,4.597240404141284
1080.0,145.46116504854368,6.375,4.4736355262840695
1085.0,147.9014778325123,6.375,4.227538900334961
1090.0,147.7621359223301,7.125,3.9458781240315077
1095.0,148.405,8.125,3.2495048721694797
1100.0,144.8921568627451,8.75,2.8792330680682467
1105.0,148.40686274509804,8.6875,2.452483961605555
1110.0,151.61881188118812,8.3125,2.7927709485363557
1115.0,154.85643564356437,8.5625,3.1237428584274065
1120.0,155.28155339805826,8.875,3.0430902175957883
1125.0,155.6095238095238,8.4375,3.005590001421156
1130.0,158.01923076923077,7.5625,3.6194837939952347
1135.0,158.6305418719212,7.4375,3.8099757334392903
1140.0,161.62376237623764,7.5,3.8722513235800915
1145.0,154.9712918660287,8.375,3.311408890901224
1150.0,154.58620689655172,7.8125,3.6105044950241907
1155.0,154.71065989847716,8.4375,3.2512123233101278
1160.0,156.6701030927835,8.125,3.0121695468947074
1165.0,159.88541666666666,7.25,2.7946661716012167
1170.0,158.5,6.9375,3.6867789755136844
1175.0,157.75634517766497,6.4375,4.243107862346019
1180.0,160.4010152284264,6.5625,4.809357468290754
1185.0,162.45408163265307,6.25,4.849264516851293
1190.0,163.44329896907217,6.0625,4.619877963388423
1195.0,154.82291666666666,5.4375,4.521698278819287
1200.0,154.36216216216215,5.5,4.613978680363578
1205.0,145.72395833333334,5.4375,4.654508396731483
1210.0,148.21052631578948,6.4375,4.099818459332208
1215.0,150.33862433862433,7.0625,3.915170851569163
1220.0,150.25906735751295,7.125,3.781294629933763
1225.0,152.26041666666666,6.8125,3.7863852328145704
1230.0,154.67914438502675,6.9375,3.7011882218508174
1235.0,155.91803278688525,7.3125,3.5639407938133907
1240.0,155.08648648648648,7.0,3.575813435925205
1245.0,158.10326086956522,6.5,3.920512060706142
