arch,path,step_time,avg_wait_time,total_stopped,avg_speed,method,pr,category
ppo,1.0,1100.0,0.2725,2.125,6.456135340315542,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1105.0,0.3575,2.875,6.831609732334233,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1110.0,0.33875,1.75,6.623773658528817,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1115.0,0.3625,1.875,6.79764938355004,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1120.0,0.32875,1.0,6.941779171983185,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1125.0,0.22875,0.75,7.149166398868893,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1130.0,0.21625,0.75,7.34848047445834,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1135.0,0.2075,1.125,7.417677651382754,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1140.0,0.23625,1.25,7.46327850832525,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1145.0,0.25,1.625,7.489385475278326,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1150.0,0.19,0.375,7.132801775897916,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1155.0,0.21125,1.375,7.001991036931294,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1160.0,0.265,1.375,7.067360897682777,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1165.0,0.26875,1.125,7.108654672826714,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1170.0,0.28125,1.125,7.335092580832397,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1175.0,0.25125,0.5,7.156502831397876,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1180.0,0.21625,1.25,6.946393670481231,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1185.0,0.2774999999999999,2.0,6.549535592982191,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1190.0,0.265,2.0,6.638945514813432,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1195.0,0.22,1.5,6.313512731776711,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1200.0,0.195,1.125,6.423377096946368,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1205.0,0.24625,1.25,6.359129543728721,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1210.0,0.23875,1.125,6.538788576444132,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1215.0,0.26,1.0,6.3259187171121045,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1220.0,0.2975,2.75,5.855823184613085,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1225.0,0.3725,1.75,5.860960229829703,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1230.0,0.3712499999999999,1.75,5.819340113131656,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1235.0,0.4,1.625,6.160657781976007,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1240.0,0.445,1.25,6.558206745448966,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1245.0,0.36,1.0,6.699100851457915,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1250.0,0.4075,1.25,6.812254347000367,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1255.0,0.4599999999999999,1.875,7.062116977052263,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1260.0,0.41375,1.875,6.970168169255119,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1265.0,0.4125,2.0,6.657493112763031,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1270.0,0.3225,1.75,6.153105568173062,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1275.0,0.3675,1.125,5.439653290502113,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1280.0,0.3975,2.5,5.370597289642874,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1285.0,0.49375,3.25,5.713140199638647,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1290.0,0.5125000000000001,2.625,5.915202549325283,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1295.0,0.48,1.5,5.94484372187097,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1300.0,0.4524999999999999,1.5,5.986493580991994,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1305.0,0.4425,1.875,6.042432891667612,MAPO-PPO,100%,MAPO-PPO/100%
