net,arch,path,avg_wait_time,total_stopped,avg_speed,method,pr,category
5x5,uniform,uniform,47.18368563769942,20.59241283124128,1.7255384109407128,Fixed time,FO,Fixed time
5x5,maxpressure,maxpressure,51.72742167125518,18.986164574616456,2.0797763281819406,MaxPressure,FO,MaxPressure
5x5,maxpressure,maxpressure,51.438314331192025,16.37160390516039,2.2308745907325886,MaxPressure,FO,MaxPressure
5x5,maxpressure,maxpressure,41.674137904216764,16.029623430962342,2.3059890739182998,MaxPressure,FO,MaxPressure
5x5,maxpressure,maxpressure,55.979960906918016,16.764407252440726,2.249814034786222,MaxPressure,FO,MaxPressure
5x5,maxpressure,maxpressure,47.51418290792386,15.548563458856345,2.4600963287650766,MaxPressure,FO,MaxPressure
5x5,maxpressure,maxpressure,68.32478366593561,16.243068340306834,2.269836558494245,MaxPressure,FO,MaxPressure
5x5,maxpressure,maxpressure,39.57642075355285,15.005969316596932,2.388190455759631,MaxPressure,FO,MaxPressure
5x5,maxpressure,maxpressure,44.25367469785818,15.19670850767085,2.350363058811313,MaxPressure,FO,MaxPressure
5x5,maxpressure,maxpressure,44.33673971991932,15.65350069735007,2.347252595825591,MaxPressure,FO,MaxPressure
5x5,maxpressure,maxpressure,60.19451141424669,14.707559274755926,2.353474021029109,MaxPressure,FO,MaxPressure
5x5,websters,websters,33.57847910282933,17.296066945606693,2.0791445789716856,Websters,FO,Websters
5x5,websters,websters,40.18312049898119,18.063152022315204,1.9896152431691436,Websters,FO,Websters
5x5,websters,websters,36.42551834626931,16.248033472803346,2.1626907739805405,Websters,FO,Websters
5x5,websters,websters,38.826377979292076,17.992189679218967,2.0633449073220844,Websters,FO,Websters
5x5,websters,websters,34.67260840034634,17.012831241283124,2.083587627963186,Websters,FO,Websters
5x5,websters,websters,40.981542258377274,18.258688981868897,2.0187850103359986,Websters,FO,Websters
5x5,websters,websters,36.38456393585417,18.927085076708508,2.03734420657438,Websters,FO,Websters
5x5,websters,websters,40.91862520933464,19.534114365411437,1.9503966694876247,Websters,FO,Websters
5x5,websters,websters,37.03814945585956,17.617852161785216,2.076886676908102,Websters,FO,Websters
5x5,websters,websters,43.408242729671855,20.95548117154812,1.7939483989898475,Websters,FO,Websters
MoCo,ppo,1.0,0.6782252440725245,1.838389121338912,6.789245620649532,MAPO-PPO,100%,MAPO-PPO/100%
MoCo,ppo,1.0,0.5918340306834031,1.8190376569037656,6.856271372393385,MAPO-PPO,100%,MAPO-PPO/100%
MoCo,ppo,1.0,0.5645519525801953,1.770397489539749,6.929994472275105,MAPO-PPO,100%,MAPO-PPO/100%
MoCo,ppo,1.0,0.6651847977684798,1.7982914923291493,6.70216080844465,MAPO-PPO,100%,MAPO-PPO/100%
MoCo,ppo,1.0,0.5855177824267782,1.670676429567643,6.717329395974625,MAPO-PPO,100%,MAPO-PPO/100%
MoCo,ppo,1.0,0.6898291492329148,1.7377963737796374,6.733389840589418,MAPO-PPO,100%,MAPO-PPO/100%
MoCo,ppo,1.0,0.5853591352859135,1.719839609483961,6.663184369222047,MAPO-PPO,100%,MAPO-PPO/100%
MoCo,ppo,1.0,0.6836157601115761,1.6841004184100419,6.484210246447815,MAPO-PPO,100%,MAPO-PPO/100%
MoCo,ppo,1.0,0.670118549511855,1.8054393305439331,6.747956478206498,MAPO-PPO,100%,MAPO-PPO/100%
