t,wt,ql,sd,b3c3_sd,b3c3_ql
790.0,36.265957446808514,1.0625,8.128825329629471,12.436867022728821,2
795.0,34.935483870967744,1.625,7.380283733908692,11.501271946399974,2
800.0,34.76288659793814,1.5,6.634495821299792,11.247121596826766,2
805.0,30.8141592920354,1.375,7.999193602940419,3.890655593963821,2
810.0,31.61261261261261,1.875,7.618549141443829,13.89,2
815.0,33.306306306306304,2.8125,6.395278923115757,13.89,2
820.0,32.19642857142857,1.875,6.04530568262519,13.876919773232766,2
825.0,33.3963963963964,1.8125,7.05666716618966,13.920860670681686,2
830.0,33.73148148148148,2.125,6.503756433359119,9.780851796067575,2
835.0,35.31132075471698,2.125,6.48580547386454,4.82307911601103,3
840.0,33.88392857142857,2.25,6.116755511039658,12.18697378084272,2
845.0,34.873873873873876,1.875,6.682329893102347,12.059447192379324,2
850.0,34.26315789473684,2.0,6.51585284804856,11.732492592349079,2
855.0,34.56410256410256,2.375,6.553358743042129,2.406792735574286,4
860.0,34.625,1.9375,7.0145744011076925,13.39945789893824,2
865.0,35.711711711711715,1.6875,6.703624912311182,13.89,2
870.0,36.25925925925926,1.8125,6.606535061487273,13.89,2
875.0,34.3859649122807,2.0,6.699620126217121,15.436423507317137,2
880.0,35.76315789473684,2.0625,7.0022845526292175,17.01508936373252,2
885.0,36.517857142857146,1.9375,7.28537518017645,13.607968910508168,2
890.0,37.891891891891895,1.6875,7.333986076623939,13.657953056340105,2
895.0,36.06422018348624,2.125,6.5417362737948155,12.895536829689084,2
900.0,34.924528301886795,2.0625,6.074623216229786,3.4922487462648726,3
905.0,36.43809523809524,2.0,6.673896579354264,2.822076793482039,3
910.0,35.0353982300885,1.5,7.032926782472782,12.628049818634342,2
915.0,35.455357142857146,1.625,7.303784521195051,11.667940995175165,2
920.0,36.163636363636364,1.9375,7.073080687934713,3.0697349868509987,2
925.0,37.626168224299064,2.1875,6.2270405714099795,0.026189925545390916,3
930.0,36.67619047619048,2.1875,5.77936720632524,0.0,4
935.0,36.801980198019805,2.3125,6.269236378235266,0.0,4
940.0,36.826530612244895,1.8125,6.888488621776249,0.0,4
945.0,32.19469026548673,2.4375,7.257246650039108,0.0,4
950.0,30.546296296296298,1.375,8.344816506695794,13.89,2
955.0,31.42452830188679,1.9375,7.470103490018522,13.89,2
960.0,31.9,2.25,6.527003557359515,13.89,2
965.0,32.10576923076923,1.8125,6.088883188889753,13.89,2
970.0,33.960396039603964,2.3125,6.236634873480096,13.89,2
975.0,35.26,1.6875,7.576909883351212,13.89,2
980.0,35.89795918367347,1.5625,7.0120251638136475,13.89,2
985.0,33.71844660194175,1.5,7.604006696816993,13.89,2
990.0,34.35,2.0625,7.140036495917011,13.89,2
995.0,34.31,1.875,6.682886231862736,13.89,2
1000.0,33.445544554455445,1.75,6.76950024538649,13.89,2
1005.0,29.214285714285715,1.875,7.62420676408929,13.89,2
1010.0,29.93577981651376,1.75,7.144864565647229,13.89,2
1015.0,31.626168224299064,2.1875,7.010188466054544,13.739506154962816,2
1020.0,33.06666666666667,1.6875,6.626351930321457,14.091501640598523,2
1025.0,31.82857142857143,2.125,6.83484273501001,14.593694157322403,2
1030.0,31.02857142857143,2.5625,6.440807180733147,13.89,2
1035.0,32.03846153846154,1.75,7.14266403997227,13.89,2
1040.0,33.66990291262136,2.0625,6.428472028910423,13.89,2
1045.0,35.294117647058826,2.375,6.165418359710963,13.89,2
1050.0,34.79207920792079,2.5,5.627893372136993,13.89,2
1055.0,36.83,2.4375,6.301102800046945,13.89,2
1060.0,36.75728155339806,1.4375,7.101747680264783,13.89,2
1065.0,37.37,1.9375,7.135959981873889,13.89,2
1070.0,38.744897959183675,2.1875,6.274123261451347,13.89,2
1075.0,36.45631067961165,2.0,6.551437278123027,13.89,2
1080.0,37.98019801980198,1.625,7.2279996483721956,13.89,2
1085.0,37.0,1.5,7.437781896504997,13.89,2
1090.0,36.68,1.625,7.10956392113032,13.89,2
1095.0,37.326530612244895,1.5,7.621714304137007,13.89,2
1100.0,35.21153846153846,1.6875,7.792415752101714,13.89,2
1105.0,36.72549019607843,1.8125,7.222585703257705,13.89,2
1110.0,37.68041237113402,1.625,7.552457805489678,13.89,2
1115.0,38.31868131868132,1.75,6.997872648218341,13.89,2
1120.0,37.91208791208791,1.75,7.2644984164339075,13.89,2
1125.0,37.702127659574465,2.0625,6.9258050439871655,13.89,2
1130.0,39.57446808510638,2.3125,6.012452842292247,13.89,2
1135.0,40.577777777777776,2.625,4.788125916057395,13.89,2
1140.0,42.75555555555555,2.125,5.927149562347321,13.89,2
1145.0,39.18181818181818,2.25,6.364668838546789,13.89,2
1150.0,40.282828282828284,1.375,8.135563402410693,13.89,2
1155.0,41.37755102040816,1.75,7.234267082242677,12.230709061402502,2
1160.0,43.041666666666664,1.625,7.22557346372723,12.715285711793214,2
1165.0,43.98936170212766,1.6875,7.0885745318467785,9.913299295051921,2
1170.0,43.34375,1.4375,7.521163384581367,9.521777049664319,2
1175.0,42.857142857142854,1.875,6.581271936714279,3.3897714245476753,3
1180.0,44.31958762886598,2.125,6.682413268583039,11.111041214502649,2
1185.0,44.01063829787234,2.3125,6.246559632335888,14.398601632395497,2
1190.0,45.29545454545455,2.25,5.361294098381462,14.739586649922908,2
1195.0,42.45744680851064,1.9375,6.323157890534083,9.350054047578197,2
1200.0,44.16483516483517,2.125,6.884804889443503,3.474186455259724,3
1205.0,40.549019607843135,2.1875,7.267803882786406,2.965946086155597,3
1210.0,42.02970297029703,2.0,6.9366693726851265,12.79331281857487,2
1215.0,42.350515463917525,2.0,6.658755194282049,12.328706027536812,2
1220.0,41.30927835051546,2.0,6.5287162399823755,2.7213704015448728,3
1225.0,43.0,1.6875,7.672279465000977,5.158343815244188,3
1230.0,43.37234042553192,1.6875,8.182118423686301,14.398174537665794,2
1235.0,43.72222222222222,1.625,6.727823806322072,13.37890567795718,2
1240.0,43.04347826086956,1.75,6.686589370846157,13.589224669550802,2
1245.0,42.2906976744186,1.5,6.534825387959158,12.662186786098317,2
1250.0,41.561797752808985,1.5,6.711209585504341,5.673429087339776,2
1255.0,41.32967032967033,2.1875,5.750218049655015,7.698698580526821,4
1260.0,43.142857142857146,1.9375,6.154946819034688,2.4171392497577817,2
1265.0,44.77777777777778,1.75,6.031630895266476,10.823934397074254,2
1270.0,46.157303370786515,1.5625,7.4006778080017845,12.4564975364793,2
1275.0,42.357894736842105,1.625,7.075131955784166,11.737878114928401,2
1280.0,43.63157894736842,1.375,7.377991958346367,4.276925793427369,2
1285.0,45.08888888888889,1.75,6.59692360993861,0.14162635962695178,4
1290.0,46.61797752808989,1.1875,6.978685769920089,10.246251959847722,2
1295.0,45.22826086956522,1.625,7.829937436050121,13.89,2
1300.0,44.65625,1.625,7.092833415356735,13.89,2
1305.0,45.27472527472528,1.875,6.659861236119034,13.60431264613302,2
1310.0,41.60674157303371,1.75,6.214026659500752,13.181785084431496,2
1315.0,41.07954545454545,1.8125,6.472859633509883,13.522015881926569,2
1320.0,40.98837209302326,1.1875,7.103715024444508,3.474034999879892,3
1325.0,40.05882352941177,1.5,6.752365349852565,3.4725,3
1330.0,39.79775280898876,1.9375,6.633904451283332,12.42468426802313,2
