t,wt,ql,sd,b3c3_sd
990.0,132.47282608695653,5.0,4.841708983441967,13.697928822790484
995.0,132.16489361702128,6.375,4.033042436292102,13.89
1000.0,130.13829787234042,7.0625,3.5795607236165554,13.89
1005.0,117.92857142857143,5.625,4.4573920642714056,13.89
1010.0,110.52150537634408,4.8125,5.461677855877503,13.89
1015.0,110.10928961748634,5.1875,5.691406522784381,13.89
1020.0,110.91160220994475,5.6875,4.865363790863855,13.89
1025.0,110.34615384615384,7.5,2.6107886665364677,13.89
1030.0,111.3076923076923,9.1875,1.799233322003442,13.89
1035.0,113.646408839779,7.3125,1.9291288784644596,9.813101899738207
1040.0,116.1767955801105,5.3125,4.890570567051773,12.030381853357845
1045.0,118.54143646408839,5.3125,5.3627704020254345,13.061365988644262
1050.0,118.2918918918919,5.4375,5.326933835222944,12.561237279398789
1055.0,121.01086956521739,6.8125,3.48937582706363,6.949680730410774
1060.0,120.79569892473118,8.0,2.7485318525824503,7.270501429630071
1065.0,124.10752688172043,6.4375,3.4110096170484034,7.835084538313391
1070.0,126.55135135135136,5.125,5.623872018917648,8.492787975534938
1075.0,122.51851851851852,5.4375,5.773634467036643,0.14668540393261542
1080.0,124.93048128342247,5.875,5.143001530642874,3.736454861594252e-05
1085.0,127.9945652173913,7.3125,3.308441788384687,0.0
1090.0,125.29834254143647,8.4375,2.1546479215584307,0.0
1095.0,127.13068181818181,6.5,2.802947051915149,8.425306040578592
1100.0,123.96739130434783,5.1875,4.949991740206549,13.443484718456908
1105.0,124.39890710382514,5.375,5.405554595245352,13.783896696523792
1110.0,126.73224043715847,5.4375,4.896933611242636,13.561128267461575
1115.0,129.43169398907105,6.6875,3.7021587155641145,13.916774784170256
1120.0,127.08839779005525,7.8125,2.968296742340306,14.084792233202306
1125.0,122.92655367231639,6.4375,3.0370678155111728,6.945457232492342
1130.0,124.16763005780346,6.25,3.8959491044768377,6.945
1135.0,126.80588235294118,6.3125,4.120186185585409,6.945
1140.0,129.90588235294118,6.8125,3.6737869967207164,6.945
1145.0,124.58791208791209,8.625,2.420177504961204,6.945
1150.0,126.67231638418079,8.75,2.0181745328332052,6.945
1155.0,128.17543859649123,6.8125,2.522901001505887,6.945
1160.0,129.37278106508876,5.3125,4.7401368685984755,6.67468978257228
1165.0,131.44642857142858,5.25,5.6544251152476885,9.45049410259711
1170.0,130.24117647058824,5.5625,4.339488484511221,10.568434899107482
1175.0,129.64739884393063,6.875,2.9258108486382493,5.655389177178864
1180.0,128.40828402366864,7.9375,1.9651696312934763,2.967536982911866
1185.0,125.9939393939394,5.875,2.543351789547497,1.3994841700564806
1190.0,128.38181818181818,4.625,5.077537399965502,3.892558024038873
1195.0,124.46242774566474,4.3125,5.873115667013175,4.989750172712807
1200.0,125.07602339181287,4.1875,6.0381079731962615,3.1513975694469205
1205.0,118.05494505494505,5.6875,4.788672192658043,2.316707238608476
1210.0,120.46927374301676,6.8125,3.8825663803041417,1.0798006430283449
1215.0,123.60795454545455,6.25,3.1846654709967877,0.33231669648248785
1220.0,123.22033898305085,5.5625,4.417667263289361,3.010197052658101
1225.0,126.0284090909091,6.125,4.577790878598736,3.9855475298524285
1230.0,128.89204545454547,6.375,4.34991343623593,1.9561761283046963
1235.0,131.92613636363637,7.1875,3.4476227752669484,2.778
1240.0,128.83908045977012,7.5625,2.8294103935848516,2.778
1245.0,129.8830409356725,5.9375,2.9992821452207346,4.31938372181879
1250.0,129.32183908045977,5.875,4.018689322084304,13.89
1255.0,129.34857142857143,6.125,4.318561502534654,13.89
1260.0,132.26857142857142,6.875,3.607137952735953,13.89
1265.0,134.82658959537574,7.75,2.3204381681698885,13.89
1270.0,136.64880952380952,9.0625,1.469232838028283,13.89
1275.0,134.11428571428573,6.625,2.6953233266474226,10.124362863899197
1280.0,135.78488372093022,5.0,4.897705286162318,13.142094068161633
1285.0,137.89411764705883,5.375,4.965740474110509,13.176173758147222
1290.0,140.52941176470588,5.75,4.003676599737973,9.745882962923469
1295.0,140.3735632183908,7.125,2.7924446597951613,6.320002869585521
1300.0,139.11363636363637,8.4375,2.054553495350228,3.473505557720104
1305.0,141.7183908045977,6.5625,2.510411430472185,3.4725
1310.0,140.91573033707866,4.5625,5.275658945431663,4.665767596822478
1315.0,138.31976744186048,4.0625,6.648522882231687,5.134764621521977
1320.0,139.6140350877193,4.25,5.646023351083239,4.704289593872313
1325.0,138.5,5.875,4.37143340694768,2.3754580811451955
1330.0,136.2754491017964,6.625,3.194302500093889,2.4633477691369863
1335.0,138.50920245398774,5.0,3.4981074485525325,0.5599915192117417
1340.0,140.18125,4.3125,5.471367655139152,3.4725
1345.0,131.0532544378698,5.125,4.803289255336195,3.4725
1350.0,132.88690476190476,4.875,5.358135087772528,3.4725
1355.0,135.0,5.625,4.139884875228303,3.4725
1360.0,129.59872611464968,6.75,2.8279040936046087,3.4725
1365.0,126.3076923076923,5.25,3.5278101907930806,5.666613508295145
1370.0,127.51948051948052,5.25,4.513276846516948,13.89
1375.0,130.20915032679738,5.8125,4.557935818560797,13.89
1380.0,132.4078947368421,5.6875,4.08990747336674,13.89
1385.0,131.26623376623377,6.8125,2.971399071142174,13.89
1390.0,133.1456953642384,7.3125,2.4900129979643464,13.89
1395.0,130.70666666666668,6.1875,2.8263904011478456,13.89
1400.0,129.3774834437086,4.8125,4.093671743084144,13.89
1405.0,125.24050632911393,5.0,4.730441008828284,13.89
1410.0,127.85350318471338,5.625,4.194776924164501,13.89
1415.0,129.3653846153846,6.75,2.7284098533902355,13.89
1420.0,128.38993710691824,7.3125,2.0666832354233318,13.89
